id,Name,Team,Position,Birth Date,School,Photo URL,Draft Info,Active Years
15526,이준명 (Jun-Myung Lee),KT,P,우투우타,강서-덕수중-성남고-동의대,https://statiz.sporki.com/data/baseball/player/2023/15526.png,23 KT 10라운드 100순위,2023년 ~ 2024년
15527,강건 (Geon Kang),KT,P,우투우타,수원영통-매향중-장안고,https://statiz.sporki.com/data/baseball/player/2023/15527.png,23 KT 11라운드 110순위,2023년 ~ 2024년
15528,맥카티 (Kirkland Kirk McCarty),SSG,P,좌투좌타,-,https://statiz.sporki.com/data/baseball/player/2023/15528.png,23 SSG 자유선발,2023년 ~ 2023년
15529,로메로 (Enny Manuel Romero Hernandez ),SSG,P,좌투우타,-,https://statiz.sporki.com/data/baseball/player/2023/15529.png,23 SSG 자유선발,2023년 ~ 2023년
15530,에레디아 (Guillermo Heredia Molina),SSG,LF,좌투우타,-,https://statiz.sporki.com/data/baseball/player/2023/15530.png,23 SSG 자유선발,2023년 ~ 2024년
15531,후라도 (Ariel Bolívar Jurado Agrazal),키움,P,우투우타,-,https://statiz.sporki.com/data/baseball/player/2023/15531.png,23 키움 자유선발,2023년 ~ 2024년
15532,오스틴 (Austin James Dean),LG,1B,우투우타,-,https://statiz.sporki.com/data/baseball/player/2023/15532.png,23 LG 자유선발,2023년 ~ 2024년
15533,앤더슨 (Shaun Anderson),KIA,P,우투우타,-,https://statiz.sporki.com/data/baseball/player/2023/15533.png,23 KIA 자유선발,2023년 ~ 2023년
15534,메디나 (Adonis Medina),KIA,P,우투우타,-,https://statiz.sporki.com/data/baseball/player/2023/15534.png,23 KIA 자유선발,2023년 ~ 2023년
15535,페디 (Erick James Fedde),NC,P,우투우타,-,https://statiz.sporki.com/data/baseball/player/2023/15535.png,23 NC 자유선발,2023년 ~ 2023년
15536,와이드너 (Taylor Browning Widener),삼성,P,우투좌타,-,https://statiz.sporki.com/data/baseball/player/2023/15536.png,23 NC 자유선발,2023년 ~ 2023년
15537,마틴 (Jason Martin),NC,CF,우투좌타,-,https://statiz.sporki.com/data/baseball/player/2023/15537.png,23 NC 자유선발,2023년 ~ 2023년
15538,딜런 (Dylan Michael File ),두산,P,우투우타,-,https://statiz.sporki.com/data/baseball/player/2023/15538.png,23 두산 자유선발,2023년 ~ 2023년
15539,로하스 (Jose Rojas),두산,LF,우투좌타,-,https://statiz.sporki.com/data/baseball/player/2023/15539.png,23 두산 자유선발,2023년 ~ 2023년
15540,스미스 (Burch Taylor Smith),한화,P,우투우타,-,https://statiz.sporki.com/data/baseball/player/2023/15540.png,23 한화 자유선발,2023년 ~ 2023년
15541,오그레디 (Brian O'Grady),한화,LF,우투좌타,-,https://statiz.sporki.com/data/baseball/player/2023/15541.png,23 한화 자유선발,2023년 ~ 2023년
15542,슐서 (Beau Grayson Sulser),KT,P,우투우타,-,https://statiz.sporki.com/data/baseball/player/2023/15542.png,23 KT 자유선발,2023년 ~ 2023년
15611,이정원 (Jung-Won Lee),두산,P,우투우타,동천초-경주중-경주고-연세대,https://statiz.sporki.com/data/baseball/player/2023/15611.png,23 두산 육성선수,2023년 ~ 2023년
15613,이기석 (Ki-Seok Lee),두산,P,좌투좌타,수진초-단월중-원주고-부산과학기술대,https://statiz.sporki.com/data/baseball/player/2023/15613.png,23 두산 육성선수,2023년 ~ 2023년
15615,조강희 (Kang-Hee Cho),SSG,P,좌투좌타,의정부-평촌중-충훈고-연세대,https://statiz.sporki.com/data/baseball/player/2023/15615.png,23 SSG 육성선수,2023년 ~ 2023년
15616,백현수 (Hyun-Soo Baek),KT,P,우투우타,남도초-경상중-대구고-경희대,https://statiz.sporki.com/data/baseball/player/2023/15616.png,23 KT 육성선수,2023년 ~ 2023년
15617,이동관 (Dong-Kwan Lee),KT,IF,우투우타,남산초-천안북중-장안고-원광대,https://statiz.sporki.com/data/baseball/player/2023/15617.png,23 KT 육성선수,2023년 ~ 2023년
15618,정우성 (Woo-Sung Jung),KT,C,우투우타,김해삼성초-양산원동중-포철고-동원과학대,https://statiz.sporki.com/data/baseball/player/2023/15618.png,23 KT 육성선수,2023년 ~ 2023년
15619,최정태 (Jung-Tae Choi),KT,OF,우투우타,성동초-휘문중-휘문고-중앙대,https://statiz.sporki.com/data/baseball/player/2023/15619.png,23 KT 육성선수,2023년 ~ 2024년
15620,김주섭 (Joo-Sub Kim),KIA,P,우투우타,도산초-경상중-대구고-고려대,https://statiz.sporki.com/data/baseball/player/2023/15620.png,23 KIA 육성선수,2023년 ~ 2023년
15621,박찬희 (Chan-Hee Park),NC,C,우투우타,노원-청원중-청원고-인하대,https://statiz.sporki.com/data/baseball/player/2023/15621.png,23 NC 육성선수,2023년 ~ 2023년
15622,김택우 (Taek-Woo Kim),NC,IF,우투좌타,신곡초-수원북중-유신고-연세대,https://statiz.sporki.com/data/baseball/player/2023/15622.png,23 NC 육성선수,2023년 ~ 2024년
15623,조준혁 (Jun-Hyuk Cho),롯데,P,좌투좌타,광주남구-충장중-광주제일고-인하대,https://statiz.sporki.com/data/baseball/player/2023/15623.png,23 롯데 육성선수,2023년 ~ 2023년
15624,서동욱 (Dong-Wook Seo),롯데,C,우투우타,순천남산초-순천이수중-효천고-홍익대,https://statiz.sporki.com/data/baseball/player/2023/15624.png,23 롯데 육성선수,2023년 ~ 2024년
15625,배영빈 (Young-Bin Bae),롯데,2B,우투우타,가동초-잠신중-서울고-홍익대,https://statiz.sporki.com/data/baseball/player/2023/15625.png,23 롯데 육성선수,2023년 ~ 2023년
15626,박건 (Geon Park),롯데,OF,우투우타,강진북초-세지중-광주동성고-부산과학기술대,https://statiz.sporki.com/data/baseball/player/2023/15626.png,23 롯데 육성선수,2023년 ~ 2023년
15627,윤수녕 (Soo-Nyeong Yoon),롯데,RF,우투좌타,대전신흥초-한밭중-대전고-연세대,https://statiz.sporki.com/data/baseball/player/2023/15627.png,23 롯데 육성선수,2023년 ~ 2023년
15628,이정재 (Jung-Jae Lee),한화,OF,우투우타,연현초-신흥중-동산고,https://statiz.sporki.com/data/baseball/player/2023/15628.png,23 한화 육성선수,2023년 ~ 2023년
15629,고영재 (Young-Jae Gp),한화,OF,우투우타,남정초-휘문중-배명고-서울문화예술대,https://statiz.sporki.com/data/baseball/player/2023/15629.png,23 한화 육성선수,2023년 ~ 2023년
15630,이석제 (Seok-Je Lee),한화,P,좌투좌타,고명초-건대부중-장충고-고려대,https://statiz.sporki.com/data/baseball/player/2023/15630.png,23 한화 육성선수,2023년 ~ 2023년
15631,성지훈 (Ji-Hoon Sung),한화,P,좌투좌타,송정동초-무등중-광주제일고-동아대,https://statiz.sporki.com/data/baseball/player/2023/15631.png,23 한화 육성선수,2023년 ~ 2024년
15632,김석훈 (Seok-Hoon Kim),한화,C,우투우타,노암초-진월중-청주고-강릉영동대,https://statiz.sporki.com/data/baseball/player/2023/15632.png,23 한화 육성선수,2023년 ~ 2023년
15633,한경빈 (Kyung-Bin Han),한화,IF,우투좌타,인천서림초-상인천중-동산고-재능대,https://statiz.sporki.com/data/baseball/player/2023/15633.png,22 한화 육성선수,2023년 ~ 2024년
15641,박승훈 (Park Seunghoon),KIA,IF,우투우타,대치중-서울고-연세대,https://statiz.sporki.com/data/baseball/player/2023/15641.png,23 KIA 육성선수,2023년 ~ 2023년
15642,손호원 (Son Ho Won),KIA,IF,우투우타,서흥초-용인송전중-라온고-단국대,https://statiz.sporki.com/data/baseball/player/2023/15642.png,23 KIA 육성선수,2023년 ~ 2023년
15643,산체스 (Ricardo Jose Sánchez),한화,P,좌투좌타,-,https://statiz.sporki.com/data/baseball/player/2023/15643.png,23 한화 자유선발,2023년 ~ 2024년
15644,엘리아스 (Roenis Elías),SSG,P,좌투좌타,-,https://statiz.sporki.com/data/baseball/player/2023/15644.png,23 SSG 자유선발,2023년 ~ 2024년
15645,김동혁 (Kim Donghyeok),롯데,LF,좌투좌타,서화초-상인천중-제물포고-강릉영동대,https://statiz.sporki.com/data/baseball/player/2023/15645.png,22 롯데 2차 7라운드 64순위,2023년 ~ 2024년
15646,맥키니 (Ian McKinney),키움,P,좌투좌타,-,https://statiz.sporki.com/data/baseball/player/2023/15646.png,23 키움 자유선발,2023년 ~ 2023년
15647,윌리엄스 (Nick Williams),한화,LF,좌투좌타,-,https://statiz.sporki.com/data/baseball/player/2023/15647.png,23 한화 자유선발,2023년 ~ 2023년
15648,산체스 (Mario Sanchez),KIA,P,우투우타,-,https://statiz.sporki.com/data/baseball/player/2023/15648.png,23 KIA 자유선발,2023년 ~ 2023년
15649,박칠성 (Chilsung Park),OB,3B,우투우타,경남고-연세대,,신인지명 :,1986년 ~ 1986년
15650,문기영 (Kiyoung Moon),삼성,3B,우투우타,-,,91 삼성 고졸연고 지명 1,1991년 ~ 1991년
15651,구드럼 (Niko Goodrum),롯데,3B,우투양타,-,https://statiz.sporki.com/data/baseball/player/2023/15651.png,23 롯데 자유선발,2023년 ~ 2023년
15652,도슨 (Ronnie Dawson),키움,CF,우투좌타,-,https://statiz.sporki.com/data/baseball/player/2023/15652.png,23 키움 자유선발,2023년 ~ 2024년
15653,태너 (Tanner Paul Tully),NC,P,좌투좌타,-,https://statiz.sporki.com/data/baseball/player/2023/15653.png,23 NC 자유선발,2023년 ~ 2023년
15737,이중석 (Lee Jung-Seok),KIA,LF,우투우타,강서-덕수중-야탑고-건국대,,23 KIA 육성선수,2023년 ~ 2023년
15792,진종길 (Jin Jong-Kil),한화,2B,우투좌타,부산동래마린스-부산동성중-부산고-동의대,,00 삼성 2차 6라운드 45순위,2004년 ~ 2005년
15853,박태원 (Park Tae-Won),KT,OF,우투좌타,성동초-잠신중-휘문고-연세대,,15 KT 2차 8라운드 74순위,2015년 ~ 2017년
15860,코너 (Connor Seabold),삼성,P,우투우타,-,https://statiz.sporki.com/data/baseball/player/2023/15860.png,24 삼성 자유선발,2024년 ~ 2024년
15861,레예스 (Denyi Reyes),삼성,P,우투우타,-,https://statiz.sporki.com/data/baseball/player/2023/15861.png,24 삼성 자유선발,2024년 ~ 2024년
15862,맥키넌 (David MacKinnon),삼성,1B,우투우타,-,https://statiz.sporki.com/data/baseball/player/2023/15862.png,24 삼성 자유선발,2024년 ~ 2024년
15864,육선엽 (SUN-YEOP YOOK),삼성,P,우투우타,백마초-신월중-장충고,https://statiz.sporki.com/data/baseball/player/2023/15864.png,24 삼성 1라운드 4순위,2024년 ~ 2024년
15865,박준용 (JUN-YONG PARK),삼성,P,우투우타,구미-구미중-경북고-수성대,https://statiz.sporki.com/data/baseball/player/2023/15865.png,24 삼성 2라운드 14순위,2024년 ~ 2024년
15866,정민성 (MIN-SEONG JEONG),삼성,P,우투우타,중앙초-군산중-군산상고,https://statiz.sporki.com/data/baseball/player/2023/15866.png,24 삼성 4라운드 34순위,2024년 ~ 2024년
15867,김성경 (SUNG-KYEUNG KIM),삼성,P,우투우타,광주학강초-망운중-광주동성고-송원대,https://statiz.sporki.com/data/baseball/player/2023/15867.png,삼성 2차 5라운드 44순위,2024년 ~ 2024년
15868,김호진 (HO-JIN KIM),삼성,2B,우투우타,송정동초-충장중-진흥고,https://statiz.sporki.com/data/baseball/player/2023/15868.png,24 삼성 6라운드 54순위,2024년 ~ 2024년
15869,신경민 (KYOUNG-MIN SHIN),삼성,P,우투우타,칠성초-경상중-대구고,https://statiz.sporki.com/data/baseball/player/2023/15869.png,24 삼성 7라운드 64순위,2024년 ~ 2024년
15870,이현준 (HYEON-JUN LEE),삼성,2B,우투우타,연현초-금릉중-비봉고-한양대,https://statiz.sporki.com/data/baseball/player/2023/15870.png,24 삼성 8라운드 74순위,2024년 ~ 2024년
15871,이재호 (JAE-HO LEE),삼성,3B,우투우타,가동초-청량중-휘문고-동국대,https://statiz.sporki.com/data/baseball/player/2023/15871.png,24 삼성 9라운드 84순위,2023년 ~ 2024년
15872,김재형 (JAE-HYUNG KIM),삼성,C,우투우타,봉천초-선린중-덕수고,https://statiz.sporki.com/data/baseball/player/2023/15872.png,24 삼성 10라운드 94순위,2024년 ~ 2024년
15873,유병선 (BYUNG-SUN RYU),삼성,P,우투우타,성동구-청량중-경동고,https://statiz.sporki.com/data/baseball/player/2023/15873.png,24 삼성 11라운드 104순위,2024년 ~ 2024년
15874,김동현 (DONG-HYUN KIM),삼성,P,우투우타,인천남-동인천중-인천고-강릉영동대,https://statiz.sporki.com/data/baseball/player/2023/15874.png,24 삼성 육성선수,2024년 ~ 2024년
15875,양도근 (DO-GEUN YANG),삼성,2B,우투우타,동막초-상인천중-장안고-강릉영동대,https://statiz.sporki.com/data/baseball/player/2023/15875.png,24 삼성 육성선수,2024년 ~ 2024년
15882,김대호 (Dae-ho Kim),삼성,P,우투우타,제주신광초-이평중-군산상고-고려대,https://statiz.sporki.com/data/baseball/player/2023/15882.png,24 삼성 육성선수,2024년 ~ 2024년
16011,신우재 (Shin Wojae),한화,LF,우투우타,숭의초-자양중-세광고-재능대,https://statiz.sporki.com/data/baseball/player/2023/16011.png,23 한화 육성선수,2023년 ~ 2024년
16012,노재원 (Noh Jae-won),NC,P,우투우타,중대초-배명중-배명고,https://statiz.sporki.com/data/baseball/player/2023/16012.png,23 NC 육성선수,2024년 ~ 2024년
16013,김현종 (Hyun-jong Kim),LG,CF,우투우타,상인천초-동인천중-인천고,https://statiz.sporki.com/data/baseball/player/2023/16013.png,24 LG 2라운드 18순위,2024년 ~ 2024년
16014,손용준 (Yong-jun Son),LG,SS,우투우타,김해-김해내동중-김해고-동원과학대,https://statiz.sporki.com/data/baseball/player/2023/16014.png,24 LG 3라운드 28순위,2024년 ~ 2024년
16015,진우영 (Woo-young Jin),LG,P,우투우타,성동초-글로벌선진중-글로벌선진고,https://statiz.sporki.com/data/baseball/player/2023/16015.png,24 LG 4라운드 38순위,2024년 ~ 2024년
16016,김대원 (Dae-won Kim),LG,SS,우투우타,백마초-원당중-충훈고-홍익대,https://statiz.sporki.com/data/baseball/player/2023/16016.png,24 LG 5라운드 48순위,2024년 ~ 2024년
16017,정지헌 (Ji-heon Jung),LG,P,우투우타,수원영통-매향중-유신고-고려대,https://statiz.sporki.com/data/baseball/player/2023/16017.png,24 LG 6라운드 58순위,2024년 ~ 2024년
16018,배강 (Gang Bae),LG,C,우투우타,광주학강초-이평중-광주제일고,https://statiz.sporki.com/data/baseball/player/2023/16018.png,24 LG 7라운드 68순위,2024년 ~ 2024년
16019,김종우 (Jong-woo Kim),LG,P,우투우타,부곡초-서울이수중-휘문고,https://statiz.sporki.com/data/baseball/player/2023/16019.png,24 LG 8라운드 78순위,2024년 ~ 2024년
16020,강석현 (Seok-hyeon Kang),LG,P,좌투좌타,광진-구리인창중-구리인창고,https://statiz.sporki.com/data/baseball/player/2023/16020.png,24 LG 9라운드 88순위,2024년 ~ 2024년
16021,김도윤 (Do-yun Kim),LG,2B,우투우타,고양덕양-신일중-야탑고,https://statiz.sporki.com/data/baseball/player/2023/16021.png,24 LG 10라운드 98순위,2024년 ~ 2024년
16022,심규빈 (Kyu-bin Sim),LG,LF,우투좌타,동대문-언북중-서울고-성균관대,https://statiz.sporki.com/data/baseball/player/2023/16022.png,24 LG 11라운드 108순위,2024년 ~ 2024년
16023,엔스 (Dietrich Arthur Enns),LG,P,좌투좌타,-,https://statiz.sporki.com/data/baseball/player/2023/16023.png,24 LG 자유선발,2024년 ~ 2024년
16024,오승윤 (Seung-Yoon Oh),LG,P,좌투좌타,광주화정초-광주동성중-광주동성고-강릉영동대,https://statiz.sporki.com/data/baseball/player/2023/16024.png,24 LG 육성선수,2024년 ~ 2024년
16025,이태겸 (Tae-Gyeom Lee),LG,RF,우투우타,수영초-대천중-개성고-단국대,https://statiz.sporki.com/data/baseball/player/2023/16025.png,24 LG 육성선수,2024년 ~ 2024년
