id,Name,Team,Position,Birth Date,School,Photo URL,Draft Info,Active Years
1001,구천서 (Chun-Seo Gu),OB,2B,우투우타,옥산초-경운중-신일고,,82 OB 창단 멤버,1982년 ~ 1993년
1002,권두조 (Doo-Jo Kwon),OB,2B,우투우타,부산중앙초-부산동성중-부경고-중앙대,,82 롯데 창단 멤버,1982년 ~ 1987년
1003,금광옥 (Kwang-Ok Geum),태평양,C,우투우타,동산고,,82 삼미 창단 멤버,1982년 ~ 1988년
1004,김경남 (Kyung-Nam Kim),태평양,2B,우투우타,창영초-상인천중-인천고-인하대,,82 삼미 창단 멤버,1982년 ~ 1988년
1005,김봉연 (Bong-Yeon Kim),해태,DH,우투우타,군산상고-연세대,,82 해태 창단 멤버,1982년 ~ 1988년
1006,김성관 (Sung-Kwan Kim),롯데,LF,우투우타,경남고-고려대,,82 롯데 창단 멤버,1982년 ~ 1984년
1007,김용달 (Yong-dal Kim),MBC,3B,우투우타,대구인지초-대구중앙중-대광고-중앙대,,82 MBC 창단 멤버,1982년 ~ 1988년
1008,김용운 (Yong-Woon Kim),롯데,C,우투우타,한밭중-서울동산고,,82 MBC 창단 멤버,1982년 ~ 1990년
1009,김용철 (Yong-Chul Kim),삼성,2B,우투우타,대신중-부산상고,,82 롯데 창단 멤버,1982년 ~ 1992년
1010,김우근 (Woo-Geun Kim),MBC,CF,우투우타,군산상고-건국대,,82 해태 창단 멤버,1982년 ~ 1987년
1011,김우열 (Woo-Yeol Kim),빙그레,CF,우투우타,서울금양초-선린중-선린고,,82 OB 창단 멤버,1982년 ~ 1986년
1012,김인식 (In-Sik Kim),MBC,3B,우투우타,청원고-성균관대,,82 MBC 창단 멤버,1982년 ~ 1988년
1013,김일권 (Il-Kwon Kim),LG,CF,우투우타,군산남초-군산남중-군산상고-한양대,,82 해태 창단 멤버,1982년 ~ 1991년
1014,김정수 (Jung-Soo Kim),청보,1B,좌투좌타,부산고-한양대,,82 롯데 창단 멤버,1982년 ~ 1986년
1015,김준환 (Jun-Hwan Kim),해태,LF,우투우타,군산남중-군산상고,,82 해태 창단 멤버,1982년 ~ 1989년
1016,배대웅 (Dae-Woong Bae),삼성,SS,우투우타,경북고,,82 삼성 창단 멤버,1982년 ~ 1986년
1017,백인천 (In-Chun Baek),롯데,LF,우투우타,경동고,,82 MBC 창단 멤버(감독 겸 선수),1982년 ~ 1984년
1018,송경섭 (Gyeong-Seob Song ),삼미,3B,우투우타,인천고-인하대,,82 삼미 창단 멤버,1982년 ~ 1984년
1019,신경식 (Kyung-Sik Shin),쌍방울,1B,좌투좌타,부산동성초-부산동성중-공주고,,82 OB 창단 멤버,1982년 ~ 1995년
1020,양세종 (Se-jong Yang),OB,3B,우투우타,장충고-연세대,,82 OB 창단 멤버,1982년 ~ 1990년
1021,양승관 (Seung-Kwan Yang),LG,RF,우투우타,인천숭의초-동인천중-인천고-인하대,,82 삼미 창단 멤버,1982년 ~ 1990년
1022,오대석 (Dae-Seok Oh),롯데,2B,우투우타,남도초-경구중-대구상고-한양대,,82 삼성 창단 멤버,1982년 ~ 1991년
1023,윤동균 (Dong-kyun Yoon),OB,LF,좌투좌타,충남중-동대문상고,,82 OB 창단 멤버,1982년 ~ 1989년
1024,이광은 (Kwang-Eun Lee),LG,3B,우투우타,배명중-배재고-연세대,,82 MBC 창단 멤버,1982년 ~ 1991년
1025,이만수 (Man-Soo Lee),삼성,C,우투우타,대구중앙초-대구중-대구상고-한양대,,82 삼성 창단 멤버,1982년 ~ 1997년
1026,이종도 (Jong-Do Lee),OB,RF,우투우타,중앙고-고려대,,82 MBC 창단 멤버,1982년 ~ 1987년
1027,장태수 (Tae-Soo Jang),삼성,CF,우투우타,대구고,,82 삼성 2차 1라운드 4순위,1982년 ~ 1992년
1028,정구왕 (Gu-Wang Jung),청보,CF,우투우타,경상중-경북고-중앙대,,82 삼성 창단 멤버,1982년 ~ 1986년
1029,정영기 (Young-Ki Jung),태평양,SS,우투우타,대전신흥초-한밭중-충암고-영남대,,82 MBC 창단 멤버,1982년 ~ 1990년
1030,조충열 (Chung-Yeol Cho),해태,2B,우투우타,선린고-연세대,,82 해태 창단 멤버,1982년 ~ 1990년
1031,조흥운 (Heung-Woon Cho),청보,SS,우투우타,인천고-건국대,,82 삼미 창단 멤버,1982년 ~ 1986년
1032,차동열 (Dong-Yeol Cha),LG,C,우투우타,경남고,,82 롯데 창단 멤버,1982년 ~ 1991년
1033,차영화 (Young-Hwa Cha),해태,SS,우투우타,광주서림초-전남중-광주제일고,,82 해태 창단 멤버,1982년 ~ 1989년
1034,허규옥 (Kyu-Ok Heo),삼성,LF,좌투좌타,대구대건고-한양대,,82 삼성 창단 멤버,1982년 ~ 1992년
1035,김광수 (Kwang-soo Kim),OB,SS,우투우타,효제초-선린중-선린고-건국대,,82 OB 창단 멤버,1982년 ~ 1992년
1036,김유동 (Yu-Dong Kim),청보,DH,우투우타,동대문상고-한양대,,82 OB 창단 멤버,1982년 ~ 1985년
1037,김한근 (Han-Geun Kim),태평양,3B,우투우타,대구상고-한양대,,82 삼성 창단 멤버,1982년 ~ 1990년
1038,박영진 (Young-Jin Park),삼성,P,우투우타,대구상고-성균관대,,82 삼성 창단 멤버,1982년 ~ 1984년
1039,박정환 (Jung-Hwan Park),삼성,2B,우투우타,경상중-경북고-한양대,,82 삼성 창단 멤버,1982년 ~ 1992년
1040,박종호 (Jong-Ho Park),OB,DH,우투우타,대전고,,82 OB 창단 멤버,1982년 ~ 1982년
1041,박찬 (Chan Park),빙그레,RF,우투우타,경북고,,82 삼성 창단 멤버,1982년 ~ 1986년
1042,서정환 (Jung-Hwan Seo),해태,2B,우투우타,경상중-경북고-건국대,,82 삼성 창단 멤버,1982년 ~ 1989년
1043,손상대 (Sang-Dae Son),삼성,C,우투우타,경복중-경북고-한양대,,82 삼성 창단 멤버,1982년 ~ 1998년
1044,손상득 (Sang-Deuk Son),삼성,C,우투우타,대구중-경북고-고려대,,82 삼성 창단 멤버,1982년 ~ 1988년
1045,유지훤 (Ji-Hwon Yoo),OB,SS,우투우타,대신초-대동중-대광고,,82 OB 창단 멤버,1982년 ~ 1988년
1046,이근식 (Keun-Sik Lee),OB,RF,좌투좌타,충암고-한양대,,82 OB 창단 멤버,1982년 ~ 1986년
1047,이근식 (Keun-Sig Lee),빙그레,RF,좌투좌타,공주고,,82 OB 창단 멤버,1982년 ~ 1986년
1048,이홍범 (Hong-Beom Lee),OB,CF,우투우타,남산초-선린중-장충고,,82 OB 창단 멤버,1982년 ~ 1986년
1049,정종현 (Jong-Hyeon Jeong),OB,C,우투우타,한양대,,82 OB 창단 멤버,1982년 ~ 1987년
1050,정혁진 (Hyeok-Jin Jeong),OB,RF,좌투좌타,고려대,,82 OB 창단 멤버,1982년 ~ 1983년
1051,정현발 (Hyun-Bal Jung),태평양,CF,우투우타,경북고-한양대,,82 삼성 창단 멤버,1982년 ~ 1988년
1052,천보성 (Bo-sung Chun),삼성,2B,우투우타,삼덕초-경운중-경북고-한양대,,82 삼성 창단 멤버,1982년 ~ 1984년
1053,함학수 (Hak-Soo Ham),삼성,1B,우투우타,경북고,,82 삼성 창단 멤버,1982년 ~ 1987년
1054,구재서 (Jae-Seo Koo),OB,LF,우투양타,옥산초-경운중-신일고,,82 OB 창단 멤버,1982년 ~ 1989년
1055,김경훈 (Kyung-Hoon Kim),해태,C,우투우타,신일고,,82 해태 창단 멤버,1982년 ~ 1991년
1056,김구길 (Gu-Gil Kim ),삼미,3B,우투우타,인천고,,82 삼미 창단 멤버,1982년 ~ 1982년
1057,김동철 (Dong-Chul Kim),삼미,P,우투우타,동산고,,82 삼미 창단 멤버,1982년 ~ 1982년
1058,김봉기 (Bong-Gi Kim),MBC,CF,우투우타,휘문고-성균관대,,82 MBC 창단 멤버,1982년 ~ 1987년
1059,김용남 (Yong-Nam Kim),빙그레,P,우투우타,군산초-군산중-군산상고-한양대,,82 해태 창단 멤버,1982년 ~ 1989년
1060,김용만 (Yong-Man Kim),해태,C,우투우타,건국대,,82 해태 2차 1라운드 5순위,1982년 ~ 1982년
1061,김일환 (Il-Hwan Kim),태평양,1B,좌투좌타,대연초-부산동성중-부산고-성균관대,,82 롯데 창단 멤버,1982년 ~ 1989년
1062,김재박 (Jae-Bak Kim),태평양,SS,우투우타,경운중-대광고-영남대,,82 MBC 자유계약,1982년 ~ 1992년
1063,김재상 (Jae-Sang Kim),태평양,LF,우투우타,남부민초-경남중-부경고-영남대,,82 롯데 창단 멤버,1982년 ~ 1991년
1064,김종모 (Jong-Mo Kim),해태,RF,우투우타,서림초-광주동성중-광주상고-영남대,,82 해태 창단 멤버,1982년 ~ 1992년
1065,김종윤 (Jong-Yoon Kim),빙그레,RF,우투우타,대전신흥초-군산중-군산상고-중앙대,,82 해태 창단 멤버,1982년 ~ 1986년
1066,김진철 (Jin-Chul Kim ),삼미,C,우투우타,인천고-인하대,,82 삼미 창단 멤버,1982년 ~ 1982년
1067,김진홍 (Jin-Hong Kim),OB,C,우투우타,대전고-인하대,,82 OB 창단 멤버,1982년 ~ 1989년
1068,김호인 (Ho-In Kim),삼미,CF,우투우타,인천고-단국대,,82 삼미 창단 멤버,1982년 ~ 1982년
1069,김휘욱 (Hwi-Wook Kim),삼성,OF,우투우타,한양대,,82 삼성 창단 멤버,1982년 ~ 1982년
1070,문주모 (Ju-Mo Mun),삼미,CF,우투우타,동산고,,82 삼미 창단 멤버,1982년 ~ 1982년
1071,박상열 (Sang-Yeol Park),OB,P,우투우타,동대문상고,,82 OB 창단 멤버,1982년 ~ 1988년
1072,박용성 (Yong-Sung Park),롯데,RF,우투우타,용마고-동아대,,82 롯데 창단 멤버,1982년 ~ 1988년
1073,박재천 (Jae-Chun Park),빙그레,IF,우투우타,휘문고,,82 MBC 창단 멤버,1982년 ~ 1986년
1074,박전섭 (Jeon-Sub Park),빙그레,C,우투우타,동국대,,82 해태 창단 멤버,1982년 ~ 1987년
1075,박준영 (Jun-Young Park ),삼미,LF,좌투좌타,선린고,,82 삼미 창단 멤버,1982년 ~ 1984년
1076,방수원 (Soo-Won Bang),해태,P,우투우타,광주서림초-광주동성중-광주제일고-영남대,,82 해태 창단 멤버,1982년 ~ 1989년
1077,배수희 (Su-Hui Bae),MBC,OF,우투우타,경동고,,82 MBC 창단 멤버,1982년 ~ 1982년
1078,송영운 (Yeong-Un Song),MBC,RF,좌투좌타,인천서림초-장충중-장충고,,82 MBC 창단 멤버,1982년 ~ 1988년
1079,송진호 (Jin-Ho Song),삼성,P,우투우타,대구상고-건국대,,82 삼성 창단 멤버,1982년 ~ 1986년
1080,신언호 (Eon-Ho Shin),LG,RF,우투우타,배재고-연세대,,82 MBC 창단 멤버,1982년 ~ 1990년
1081,신태중 (Tae-Joong Shin),청보,P,우투우타,고려대,,82 해태 창단 멤버,1982년 ~ 1987년
1082,엄태섭 (Tae-Sup Eom),삼미,OF,좌투좌타,용마고-동아대,,82 롯데 창단 멤버,1982년 ~ 1984년
1083,유승안 (Seung-An Yu),빙그레,C,우투우타,경동고-목원대,,82 MBC 창단 멤버,1982년 ~ 1991년
1084,이경수 (Gyeong-Su Lee ),삼미,CF,우투우타,서울고-한양대,,82 삼미 창단 멤버,1982년 ~ 1982년
1085,이상윤 (Sang-Yoon Lee),해태,P,우투우타,광주서림초-광주제일고,,82 해태 창단 멤버,1982년 ~ 1989년
1086,이성득 (Sung-Deuk Lee),롯데,2B,우투우타,대신초-경남중-경남고-고려대,,82 롯데 창단 멤버,1982년 ~ 1982년
1087,이윤섭 (Yoon-Sub Lee),롯데,P,좌투좌타,부산상고-고려대,,82 롯데 창단 멤버,1982년 ~ 1984년
1088,이찬선 (Chan-Seon Lee ),삼미,IF,우투우타,동산고,,82 삼미 창단 멤버,1982년 ~ 1982년
1089,이철성 (Chul-Sung Lee),청보,RF,우투우타,상인천중-인천고-인하대,,82 삼미 창단 멤버,1982년 ~ 1986년
1090,이춘근 (Chun-Geun Lee ),삼미,LF,우투우타,동산고,,82 삼미 창단 멤버,1982년 ~ 1982년
1091,임신근 (Shin-Geun Im),삼성,IF,좌투좌타,경북고,,82 삼성 창단 멤버(코치 겸 선수),1982년 ~ 1982년
1092,임정면 (Jung-Myun Lim),빙그레,3B,우투우타,용마고-건국대,,82 해태 창단 멤버,1982년 ~ 1988년
1093,장정기 (Jung-Ki Jang ),청보,1B,우투우타,인천고-인하대,,82 삼미 창단 멤버,1982년 ~ 1985년
1094,정문섭 (Mun-Seop Jung),OB,RF,우투우타,동대문상고,,82 롯데 2차 4라운드 19순위,1982년 ~ 1986년
1095,정학수 (Hak-Soo Jung),롯데,2B,우투우타,진해중-용마고-동아대,,82 롯데 창단 멤버,1982년 ~ 1989년
1096,조호 (Ho Cho),OB,2B,우투우타,대구상고,,82 MBC 2차 1라운드 1순위,1982년 ~ 1985년
1097,최순하 (Soon-Ha Choi),롯데,C,우투우타,부경고-동아대,,82 롯데 창단 멤버,1982년 ~ 1982년
1098,최영조 (Young-Jo Choi),해태,2B,우투우타,광주상고,,82 해태 창단 멤버,1982년 ~ 1983년
1099,최영환 (Young-Hwan Choi),태평양,C,우투우타,동산고-영남대,,82 삼미 창단 멤버,1982년 ~ 1991년
1100,최정기 (Jung-Ki Choi),MBC,C,우투우타,대전신흥초-한밭중-충암고-동국대,,82 MBC 창단 멤버,1982년 ~ 1983년
1101,최정우 (Jeong-Woo Choi),MBC,CF,우투우타,배문중,,82 MBC 창단 멤버,1982년 ~ 1984년
1102,허운 (Woon Heo),청보,2B,우투우타,동산고-중앙대,,82 삼미 창단 멤버,1982년 ~ 1985년
1103,홍순만 (Soon-Man Hong),빙그레,C,우투우타,대전고-동국대,,82 해태 창단 멤버,1982년 ~ 1986년
1104,권영호 (Young-Ho Kwon),삼성,P,좌투좌타,성광중-영남대,,82 삼성 창단 멤버,1982년 ~ 1989년
1105,박철순 (Cheol-Sun Park),OB,P,우투우타,부산동광초-경남중-배명고-연세대,,82 OB 창단 멤버,1982년 ~ 1996년
1106,선우대영 (Dae-Yeong SenYu),OB,P,좌투좌타,성남중-서울고-중앙대,,82 OB 창단 멤버,1982년 ~ 1983년
1107,유종겸 (Jong-Kyum Yoo),LG,P,좌투좌타,장충중-장충고-중앙대,,82 MBC 창단 멤버,1982년 ~ 1990년
1108,이길환 (Gil-Hwan Lee),태평양,P,우언우타,선린고,,82 MBC 창단 멤버,1982년 ~ 1990년
1109,정순명 (Soon-Myung Jung),MBC,P,우투우타,충암고-한양대,,82 MBC 창단 멤버,1982년 ~ 1986년
1110,천창호 (Chang-Ho Cheon),태평양,P,우투우타,경남고-경희대,,82 롯데 창단 멤버,1982년 ~ 1989년
1111,하기룡 (Ki-Ryong Ha),MBC,P,우투우타,배재고,,82 MBC 창단 멤버,1982년 ~ 1989년
1112,황규봉 (Kyu-Bong Hwang),삼성,P,우투우타,경상중-경북고-고려대,,82 삼성 창단 멤버,1982년 ~ 1986년
1113,강철원 (Cheol-Won Kang),청보,P,우언우타,동대문상고,,82 OB 창단 멤버,1982년 ~ 1986년
1114,계형철 (Hyeong-Cheol Kye),OB,P,우투우타,동인천중-중앙고-중앙대,,82 OB 창단 멤버,1982년 ~ 1991년
1115,성낙수 (Nak-Soo Sung),빙그레,P,우투우타,경북고-경희대,,82 삼성 창단 멤버,1982년 ~ 1986년
1116,이선희 (Sun-Hee Lee),MBC,P,좌투좌타,경상중-경북고,,82 삼성 창단 멤버,1982년 ~ 1987년
1117,황태환 (Tae-Hwan Hwang),OB,P,좌투좌타,한양대,,82 OB 창단 멤버,1982년 ~ 1989년
1118,감사용 (Sa-Yong Kam),OB,P,좌투좌타,마산고,,82 삼미 창단 멤버,1982년 ~ 1986년
1119,강만식 (Man-Sik Kang),삼성,P,우투우타,광주제일고-고려대,,82 해태 창단 멤버,1982년 ~ 1989년
1120,김덕열 (Duk-Yeol Kim),삼미,P,우투우타,용마고,,82 롯데 창단 멤버,1982년 ~ 1984년
1121,김문희 (Moon-Hee Kim),롯데,P,우투우타,부산중-부산고-동아대,,82 롯데 창단 멤버,1982년 ~ 1985년
1122,김시철 (Si-Chul Kim),MBC,P,우투우타,-,,82 MBC 창단 멤버,1982년 ~ 1982년
1123,김재현 (Jae-Hyun Kim),청보,P,우투우타,동산고,,82 삼미 창단 멤버,1982년 ~ 1987년
1124,김현홍 (Hyun-Hong Kim),OB,P,우투우타,선린고,,82 OB 창단 멤버,1982년 ~ 1984년
1125,노상수 (Sang-Soo No),롯데,P,우언우타,부산동성중-부산상고-고려대,,82 롯데 창단 멤버,1982년 ~ 1991년
1126,박경호 (Gyeong-Ho Park ),삼미,P,우투우타,동산고-인하대,,82 삼미 창단 멤버,1982년 ~ 1982년
1127,박석채 (Seok-Chae Park),MBC,P,우투우타,-,,82 MBC 창단 멤버,1982년 ~ 1983년
1128,방기만 (Ki-Man Bang),롯데,P,우투우타,성남고-건국대,,82 롯데 2차 2라운드 9순위,1982년 ~ 1982년
1129,오문현 (Moon-Hyun Oh),,P,우언우타,대구대건고-영남대,,82 삼미 스카우트,1982년 ~ 1997년
1130,이광권 (Kwang-Kwon Lee),MBC,P,우투우타,영랑초-성남중-경기상고,,82 MBC 창단 멤버,1982년 ~ 1985년
1131,이진우 (Jin-Woo Lee),청보,P,좌투좌타,철도고,,82 롯데 2차 3라운드 12순위,1982년 ~ 1987년
1132,인호봉 (Ho-Bong In ),청보,P,우투우타,상인천중-인천고-인하대,,82 삼미 창단 멤버,1982년 ~ 1985년
1133,차준섭 (Joon-Seop Cha ),MBC,P,우투우타,휘문고-한양대,,82 MBC 창단 멤버,1982년 ~ 1988년
1134,최옥규 (Ok-Kyu Choi),롯데,P,우투우타,부산상고-고려대,,82 롯데 창단 멤버,1982년 ~ 1982년
1135,한상연 (Sang-Yeon Han),삼미,P,우투우타,춘천고,,82 OB 창단 멤버,1982년 ~ 1982년
1136,김대진 (Dae-Jin Kim),OB,LF,우투우타,삼덕초-경북고-연세대,,83 삼미 2차 1라운드 2순위,1983년 ~ 1987년
1137,김무종 (Moo-Jong Kim),해태,C,우투우타,-,,83 해태 재일교포 자유계약,1983년 ~ 1988년
1138,김진우 (Jin-Woo Kim),MBC,C,우투우타,상인천중-인천고-인하대,,83 삼미 1차,1983년 ~ 1989년
1139,박종훈 (Jong-Hoon Park),OB,CF,좌투좌타,신일중-신일고-고려대,,83 OB 1차,1983년 ~ 1989년
1140,유두열 (Doo-Yeol Yoo),롯데,DH,우투우타,마산월포초-마산동중-용마고,,83 롯데 1차,1983년 ~ 1991년
1141,이해창 (Hae-Chang Lee),태평양,CF,우투우타,선린고-건국대,,82 MBC 자유계약,1982년 ~ 1988년
1142,장효조 (Hyo-Jo Jang),롯데,LF,좌투좌타,삼덕초-대구중-대구상고-한양대,,83 삼성 1차,1983년 ~ 1992년
1143,정구선 (Gu-Sun Jung),롯데,2B,우투우타,대전고-동국대,,83 OB 1차,1983년 ~ 1990년
1144,한대화 (Dae-Hwa Han),쌍방울,3B,우투우타,대전신흥초-한밭중-대전고-동국대,,83 OB 1차,1983년 ~ 1997년
1145,한문연 (Moon-Yeon Han),롯데,C,우투우타,마산동중-용마고-동아대,,83 롯데 1차,1983년 ~ 1992년
1146,김정수 (Jung-Soo Kim),MBC,1B,우투우타,신일고-고려대,,83 MBC 1차,1983년 ~ 1985년
1147,양승호 (Seung-Ho Yang),OB,3B,우투우타,신일중-신일고-고려대,,83 해태 2차 3라운드 12순위,1983년 ~ 1986년
1148,유성룡 (Sung-Ryong Yoo),MBC,3B,우투우타,경기고-중앙대,,83 MBC 1차,1983년 ~ 1985년
1149,김근석 (Geun-Seok Kim),태평양,2B,우투우타,경북고-고려대,,83 삼성 1차,1983년 ~ 1988년
1150,김동재 (Dong-Jae Kim),LG,2B,우투우타,계성초-경운중-경북고-연세대,,83 삼성 1차,1983년 ~ 1993년
1151,김문영 (Moon-young Kim),MBC,OF,우투우타,선린고-연세대,,83 MBC 1차,1983년 ~ 1988년
1152,김석일 (Seok-Il Kim),롯데,C,좌투좌타,경남고-중앙대,,83 롯데 1차,1983년 ~ 1987년
1153,김성호 (Sung-Ho Kim),롯데,IF,우투우타,부산고-건국대,,83 롯데 1차,1983년 ~ 1985년
1154,김종근 (Jong-Geun Kim),롯데,IF,우투우타,경남고-중앙대,,83 롯데 1차,1983년 ~ 1983년
1155,김호근 (Ho-Geun Kim),쌍방울,C,우투우타,대연초-부산중-부산고-고려대,,83 롯데 1차,1983년 ~ 1993년
1156,박승호 (Seung-Ho Park),삼성,DH,좌투좌타,건국대,,83 삼성 1차,1983년 ~ 1993년
1157,박영태 (Young-Tae Park),롯데,2B,우투우타,완월초-마산동중-용마고-동아대,,83 롯데 1차,1983년 ~ 1992년
1158,박철영 (Cheol-Young Park),MBC,C,우투우타,배명중-배명고-연세대,,83 MBC 1차,1983년 ~ 1988년
1159,송일섭 (Il-Sub Song),빙그레,RF,좌투좌타,청주고,,83 OB 1차,1983년 ~ 1990년
1160,심재원 (Jae-Won Sim),LG,C,우투우타,남부민초-개성중-부산고-성균관대,,83 롯데 1차,1983년 ~ 1991년
1161,우경하 (Kyung-Ha Woo),롯데,1B,우투우타,경남고-고려대,,83 롯데 1차,1983년 ~ 1988년
1162,우용득 (Yong-Deuk Woo),삼성,C,우투우타,대구상고,,82 삼성 창단 멤버(플레잉코치 겸 선수),1982년 ~ 1983년
1163,이광길 (Kwang-Gil Lee),삼성,2B,우투우타,한밭중-대전고-인하대,,83 삼미 2차 3라운드 10순위,1983년 ~ 1992년
1164,이선웅 (Sun-Woong Lee),태평양,3B,우투우타,선린고-인하대,,83 OB 1차,1983년 ~ 1992년
1165,이성수 (Seong-Su Lee),빙그레,OF,좌투좌타,충암고,,83 MBC 1차,1983년 ~ 1986년
1166,이영구 (Young-Gu Lee),청보,2B,우투우타,-,,83 삼미 자유계약,1983년 ~ 1985년
1167,장진범 (Jin-Beom Jang),해태,3B,우투우타,광주서림초-진흥고-영남대,,83 해태 1차,1983년 ~ 1987년
1168,정진호 (Jin-Ho Jung),태평양,2B,우투우타,포항초-경상중-경북고-연세대,,83 삼성 1차,1983년 ~ 1990년
1169,조종규 (Jong-Gyu Cho),OB,C,우투우타,군산상고-건국대,,83 해태 1차,1983년 ~ 1985년
1170,최홍석 (Hong-Seok Choi),삼성,OF,우투우타,신일고-고려대,,83 MBC 1차,1983년 ~ 1991년
1171,홍승규 (Seung-Kyu Hong),삼성,LF,좌투좌타,대구상고-성균관대,,83 삼성 1차,1983년 ~ 1990년
1172,황병일 (Byeong-Il Hwang),빙그레,2B,우투우타,포항중-경북고-건국대,,83 삼성 1차,1983년 ~ 1990년
1173,김시진 (Si-Jin Kim),롯데,P,우투우타,포항중-대구상고-한양대,,83 삼성 1차,1983년 ~ 1992년
1174,오영일 (Yeong-ll Oh),태평양,P,우투우타,배명중-배명고-인하대,,83 MBC 1차,1983년 ~ 1990년
1175,임호균 (Ho-Gyun Lim),태평양,P,우투우타,인천고-동아대,,83 삼미 1차,1983년 ~ 1990년
1176,장명부 (Myung-Bu Jang),빙그레,P,우투우타,-,,83 삼미 자유계약,1983년 ~ 1986년
1177,장호연 (Ho-Yeon Jang),OB,P,우투우타,충암고-동국대,,83 OB 1차,1983년 ~ 1995년
1178,주동식 (Dong-Sik Joo),해태,P,우언우타,-,,83 해태 자유계약,1983년 ~ 1984년
1179,이원국 (Won-Kuk Lee),MBC,P,우투우타,중앙중-중앙고-고려대,,83 MBC 자유계약,1983년 ~ 1983년
1180,김상기 (Sang-Ki Kim),청보,P,좌투좌타,인천고-인하대,,83 삼미 1차,1983년 ~ 1987년
1181,김현재 (Hyun-Jae Kim),해태,P,좌투좌타,휘문고-고려대,,83 해태 2차 1라운드 4순위,1983년 ~ 1984년
1182,박동경 (Dong-Kyung Park),삼성,P,우투우타,서울고,,83 해태 2차 2라운드 5순위,1983년 ~ 1988년
1183,박정후 (Jung-Hoo Park),청보,P,좌투좌타,경남고-동아대,,83 롯데 1차,1983년 ~ 1985년
1184,배경환 (Kyung-Hwan Bae),태평양,P,우투우타,경남고-연세대,,83 롯데 1차,1983년 ~ 1990년
1185,신계석 (Gye-Seok Shin),MBC,P,우투우타,경기고-경희대,,83 MBC 1차,1983년 ~ 1983년
1186,양일환 (Il-Hwan Yang),삼성,P,우언우타,대구중-대구상고-건국대,,83 삼성 1차,1983년 ~ 1989년
1187,엄평재 (Um Pyungjae),OB,P,우투우타,-,,83 해태 신고선수,1983년 ~ 1986년
1188,유종천 (Jong-Chun Yoo),삼미,P,우언우타,성균관대,,83 삼미 2차 2라운드 7순위,1983년 ~ 1983년
1189,정선두 (Sun-Doo Jung ),청보,P,우투우타,장충고,,83 OB 1차,1983년 ~ 1987년
1190,정성만 (Sung-Man Jung),롯데,P,좌투좌타,성균관대,,82 삼미 신고선수,1982년 ~ 1987년
1191,최동원 (Dong-Won Choi),삼성,P,우투우타,부산구덕초-경남중-경남고-연세대,,83 롯데 1차,1983년 ~ 1990년
1192,황기선 (Ki-Sun Hwang),OB,P,우언우타,-,,83 해태 자유계약,1983년 ~ 1987년
1193,김상훈 (Sang-Hoon Kim),해태,1B,좌투좌타,이문초-동대문중-동대문상고-동아대,,84 MBC 1차,1984년 ~ 1995년
1194,홍문종 (Mun-Jong Hong),태평양,RF,좌투좌타,-,,84 롯데 자유계약,1984년 ~ 1990년
1195,김민호 (Min-Ho Kim),롯데,1B,좌투좌타,부산성서초-부산동성중-부산고-동국대,,84 롯데 1차,1984년 ~ 1996년
1196,김성래 (Sung-Rae Kim),SK,2B,우투우타,대구옥산초-경운중-경북고-연세대,,84 삼성 1차,1984년 ~ 2000년
1197,김이수 (Yi-Soo Kim),삼성,OF,좌투좌타,부산상고-한양대,,83 삼성 2차 2라운드 4순위,1984년 ~ 1986년
1198,김한조 (Han-Jo Kim),태평양,OF,좌투우타,경남고-동아대,,84 롯데 1차,1984년 ~ 1989년
1199,송일수 (Il-Soo Song ),삼성,C,우투우타,국외,,83 삼성 자유선발,1984년 ~ 1986년
1200,조성옥 (Sung-Ok Cho),롯데,RF,좌투좌타,대연초-부산동성중-부산고-동아대,,84 롯데 1차,1984년 ~ 1995년
1201,강정남 (Jung-Nam Kang),해태,1B,좌투좌타,광주동성고-동국대,,84 해태 1차,1984년 ~ 1984년
1202,김경표 (Kyung-pyo Kim),MBC,2B,우투우타,신일고-한양대,,84 MBC 1차,1984년 ~ 1989년
1203,김광림 (Gwang-Lim Kim),쌍방울,CF,좌투좌타,충남중-공주고-고려대,,84 OB 1차,1984년 ~ 1999년
1204,김명구 (Myung-Gu Kim),OB,OF,우투우타,공주고,,84 OB 1차,1984년 ~ 1988년
1205,김성호 (Seong-Ho Kim),빙그레,C,우투우타,영남대,,84 OB 1차,1984년 ~ 1988년
1206,김영균 (Young-Kyun Kim),OB,OF,우투우타,서울고-연세대,,84 MBC 1차,1984년 ~ 1988년
1207,김진근 (Jin-Geun Kim),청보,OF,좌투좌타,성균관대,,84 롯데 1차,1984년 ~ 1987년
1208,박해종 (Hae-Jong Park),OB,C,우투우타,연세대,,84 OB 신고선수,1984년 ~ 1985년
1209,배원영 (Won-Young Bae),빙그레,C,우투우타,세광고-건국대,,84 OB 1차,1984년 ~ 1986년
1210,사인상 (In-Sang Sa),OB,DH,우투우타,동대문상고,,8순위,1984년 ~ 1986년
1211,유제룡 (Je-Ryong Yu),MBC,OF,우투우타,휘문고,,84 MBC 1차,1984년 ~ 1986년
1212,이삼열 (Sam-Yeol Lee),OB,IF,우투우타,대구상고,,84 OB 자유계약,1984년 ~ 1984년
1213,이석규 (Seog-Kyu Lee),빙그레,2B,우투우타,용마고-동아대,,84 롯데 1차,1984년 ~ 1986년
