player_name,team,year,home_run_rate,label,batting_side,throwing_hand,height,weight,age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,IBB,onbase_plus_slugging,TB,GIDP,HBP,SH,SF
박건우,두산베어스,2019,0.0186219739292365,두산베어스-2019-박건우,R,R,"6' 0""",176,28,127,537,458,83,146,27,5,10,64,12,3,60,57,0.319,0.397,0.465,0,0.863,213,23,7,1,11
박세혁,두산베어스,2019,0.007920792079207921,두산베어스-2019-박세혁,L,R,"5' 11""",189,29,137,505,441,58,123,19,9,4,63,8,2,41,68,0.279,0.346,0.39,1,0.736,172,5,7,10,6
박유연,두산베어스,2019,0.0,두산베어스-2019-박유연,R,R,"5' 9""",169,20,2,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0
류지혁,두산베어스,2019,0.0,두산베어스-2019-류지혁,L,R,"5' 11""",165,25,118,316,276,36,69,6,2,0,34,18,5,24,40,0.25,0.323,0.286,0,0.609,79,6,7,6,3
서예일,두산베어스,2019,0.0,두산베어스-2019-서예일,R,R,"5' 10""",182,26,7,3,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0
신성현,두산베어스,2019,0.018518518518518517,두산베어스-2019-신성현,R,R,"6' 0""",202,28,35,54,41,9,8,0,0,1,6,0,0,10,14,0.195,0.352,0.268,0,0.62,11,0,1,0,2
송승환,두산베어스,2019,0.0,두산베어스-2019-송승환,R,R,"6' 0""",205,18,2,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0
안권수,두산베어스,2020,0.0,두산베어스-2020-안권수,L,R,"5' 8""",176,27,68,41,37,10,10,0,0,0,3,2,1,2,5,0.27,0.3,0.27,0,0.57,10,1,0,1,1
백동훈,두산베어스,2020,0.0,두산베어스-2020-백동훈,R,R,"6' 0""",216,29,27,19,16,5,3,1,0,0,0,0,0,1,4,0.188,0.316,0.25,0,0.566,4,0,2,0,0
최주환,두산베어스,2020,0.027874564459930314,두산베어스-2020-최주환,L,R,"5' 10""",160,32,140,574,509,63,156,29,4,16,88,2,2,47,66,0.307,0.367,0.474,5,0.84,241,7,7,1,10
최용제,두산베어스,2020,0.0,두산베어스-2020-최용제,R,R,"5' 11""",198,28,28,49,44,9,13,0,1,0,9,0,0,4,8,0.296,0.354,0.341,0,0.695,15,2,0,1,0
정상호,두산베어스,2020,0.0,두산베어스-2020-정상호,R,R,"6' 1""",220,37,42,92,86,3,14,6,0,0,8,0,0,2,29,0.163,0.18,0.233,0,0.412,20,4,0,3,1
Jose Miguel Fernandez,두산베어스,2020,0.03143712574850299,두산베어스-2020-Jose Miguel Fernandez,L,R,"5' 10""",185,32,144,668,586,104,199,29,0,21,105,0,1,58,42,0.34,0.404,0.497,1,0.901,291,26,13,0,11
호경민,두산베어스,2020,0.014373716632443531,두산베어스-2020-호경민,R,R,"5' 9""",185,29,117,487,437,70,145,25,1,7,58,14,6,35,28,0.332,0.382,0.442,2,0.824,193,10,5,3,7
장승현,두산베어스,2020,0.0,두산베어스-2020-장승현,R,R,"6' 0""",189,26,23,22,20,5,5,3,0,0,3,0,0,1,6,0.25,0.318,0.4,0,0.718,8,2,1,0,0
조수행,두산베어스,2020,0.0,두산베어스-2020-조수행,L,R,"5' 10""",160,26,44,40,38,12,10,0,0,0,4,3,2,2,6,0.263,0.3,0.263,0,0.563,10,0,0,0,0
정수빈,두산베어스,2020,0.008944543828264758,두산베어스-2020-정수빈,L,L,"5' 8""",154,29,141,559,490,84,146,17,8,5,59,15,6,55,56,0.298,0.368,0.396,3,0.764,194,10,2,7,5
김인태,두산베어스,2020,0.00909090909090909,두산베어스-2020-김인태,L,L,"5' 10""",171,25,77,110,84,15,17,5,0,1,13,0,0,21,13,0.202,0.37,0.298,0,0.668,25,3,2,2,1
김재환,두산베어스,2020,0.048859934853420196,두산베어스-2020-김재환,L,R,"6' 0""",198,31,140,614,516,82,137,26,1,30,113,6,0,91,154,0.266,0.373,0.494,3,0.867,255,14,1,0,6
김재호,두산베어스,2020,0.004366812227074236,두산베어스-2020-김재호,R,R,"5' 11""",165,35,120,458,402,48,116,15,1,2,39,6,2,45,45,0.289,0.362,0.346,1,0.708,139,17,4,2,5
국해성,두산베어스,2020,0.031914893617021274,두산베어스-2020-국해성,S,R,"5' 10""",207,30,46,94,86,10,20,1,0,3,17,1,1,6,21,0.233,0.287,0.349,2,0.636,30,2,1,0,1
권민석,두산베어스,2020,0.0,두산베어스-2020-권민석,R,R,"6' 0""",163,21,55,57,50,6,13,2,0,0,7,1,0,3,15,0.26,0.291,0.3,0,0.591,15,0,0,2,2
이병휘,두산베어스,2020,0.0,두산베어스-2020-이병휘,R,R,"5' 8""",149,21,101,108,89,30,23,2,1,0,6,13,4,14,25,0.258,0.368,0.303,0,0.671,27,2,2,2,1
